ID,Predicted y values
1,76.58568
2,87.491264
3,72.07877
4,74.05549
5,110.009026
8,86.07466
10,108.202324
11,104.67619
12,117.52467
14,98.22254
15,109.15132
16,117.7706
17,116.964485
19,84.54536
20,106.79506
21,125.463646
22,118.02788
23,116.964485
26,88.451935
28,86.01699
29,116.964485
33,116.964485
35,98.13667
41,116.47783
42,105.65447
43,116.36054
45,100.54806
46,98.24474
51,94.65754
53,78.25615
55,124.57733
56,98.068405
57,114.36506
58,97.8108
59,99.463806
63,117.513
64,95.40333
65,101.74913
69,88.442924
71,96.54802
72,112.58736
73,89.544624
76,98.16427
77,103.73414
78,118.3839
82,91.02856
83,101.74913
84,106.357185
85,105.3233
87,114.15106
88,116.47783
89,114.55601
91,93.22176
93,103.83185
94,95.522995
95,88.49159
96,117.229126
97,97.98514
98,106.61036
99,84.90681
101,113.064316
103,114.55601
104,92.88979
105,120.143
110,89.70912
111,116.2526
113,111.48836
114,94.13478
115,127.81056
117,114.55601
120,88.952644
121,107.99186
122,94.02729
123,102.50275
126,107.212204
132,114.72339
135,104.43297
137,95.357254
138,90.31932
140,91.786736
142,78.15009
144,115.55899
148,100.502014
149,97.88003
155,94.29726
156,121.62702
157,97.98514
162,102.65898
163,96.315765
167,95.50858
172,116.36054
179,101.83424
180,99.3255
181,109.12007
182,89.79793
183,114.55601
185,114.55601
187,114.272125
188,91.192154
189,97.518364
191,91.195366
192,106.53681
193,93.60051
194,112.55595
195,84.392494
196,119.63675
198,106.74187
199,113.37563
201,102.175316
204,98.28077
205,103.527016
206,86.14066
210,84.17467
211,113.064316
216,116.946495
219,115.88717
220,87.14283
221,102.07388
226,109.12007
227,89.92849
228,112.308
230,103.28068
231,97.98514
235,124.28834
236,92.57161
238,111.93985
242,97.798965
243,88.0038
244,74.42172
245,105.358475
247,121.83729
248,105.96415
249,96.11581
250,113.93622
251,92.57161
253,124.28834
254,93.21014
256,96.491806
257,88.478615
258,112.49941
259,85.06901
262,78.271904
266,80.36655
267,113.06646
272,121.24439
273,114.55601
275,92.05951
276,114.95432
279,93.58643
280,101.74913
283,94.09391
285,111.03854
288,114.55601
289,107.29929
290,107.01704
291,111.42516
292,116.970634
293,100.353455
296,93.33154
297,110.320076
298,118.3839
299,91.02856
304,91.205734
305,104.61278
306,93.91931
307,112.43284
311,103.907036
313,105.418106
314,87.42745
316,93.89836
324,98.41183
327,87.83341
329,92.61346
330,117.05442
337,107.451515
338,104.260735
339,112.44862
340,94.328606
343,98.021126
345,111.06322
346,89.16688
347,117.76935
349,103.780426
350,88.24652
352,105.68263
353,90.1681
354,60.398304
357,92.174805
358,115.62113
362,112.801155
364,89.240074
365,99.02454
366,87.91759
367,111.193886
368,108.44201
370,82.10894
373,91.976234
377,97.82204
378,114.75751
382,100.17469
384,112.9066
390,84.24427
392,119.03071
393,106.15778
395,98.81076
396,110.06616
399,96.54598
406,105.418106
408,105.418106
409,87.27214
410,71.36292
412,114.21074
413,86.42301
419,92.58944
420,108.69198
421,89.267235
430,103.753006
434,87.66413
436,98.27434
437,100.56588
438,91.28652
439,109.025116
440,90.631355
443,114.66967
446,94.91283
448,88.46376
452,94.16653
453,116.257774
457,96.55246
458,95.92347
459,108.658356
460,99.89753
462,114.58969
464,100.62747
465,113.20548
467,115.19195
471,102.26294
472,85.61043
473,82.97511
475,86.99998
480,97.87423
488,122.49762
490,112.43284
491,99.10815
492,71.25756
493,98.485565
497,95.77921
498,118.49187
499,92.95162
500,101.33095
501,92.91147
502,119.82108
506,64.48665
510,118.08242
511,96.908875
512,100.19954
516,103.35468
518,91.43668
519,128.26251
521,83.39539
522,137.65154
526,112.77232
529,123.35204
532,108.63458
533,101.91736
536,108.57895
537,66.19969
539,92.28378
540,98.858986
541,101.29843
543,104.1785
546,113.64712
547,96.015526
548,88.81891
551,100.571846
552,106.80377
556,102.768486
557,96.64618
558,111.193886
559,94.57999
560,104.425835
562,105.87464
566,90.3513
570,118.49187
571,100.56588
572,101.74913
573,91.86298
575,113.20548
576,109.116425
577,94.33146
579,88.65296
580,120.096954
581,109.38904
589,112.43284
591,98.41253
593,90.449486
594,109.13025
595,96.940094
598,97.069725
602,112.2905
604,111.20114
606,100.70519
608,91.69991
609,106.42645
610,91.006065
616,108.521645
617,86.33003
618,102.381584
620,100.22984
622,108.46563
623,89.62359
624,108.02418
626,116.63566
628,112.03847
629,94.29401
630,104.48174
637,95.43011
638,125.75426
643,94.23306
645,97.87423
646,116.757065
648,95.91676
652,103.42872
653,89.22249
654,118.49187
656,109.72721
657,89.52427
659,97.626144
660,108.32451
663,81.93364
664,115.15712
666,95.56552
668,118.72108
669,97.83968
671,95.432335
675,90.454124
677,102.05866
678,116.99447
679,93.54244
682,100.93987
